Age,Gender,Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Health_Impacts,Urban_or_Rural
13,Male,5.67,Tablet,True,"Poor Sleep, Anxiety",Urban
9,Female,3.8,TV,True,"Poor Sleep, Eye Strain",Rural
17,Male,4.61,TV,True,"Poor Sleep, Obesity Risk",Rural
9,Male,0.9,Tablet,False,None,Rural
17,Female,3.3,TV,True,None,Urban
11,Male,5.12,TV,True,Poor Sleep,Urban
15,Female,5.82,TV,True,Poor Sleep,Urban
14,Female,4.27,Smartphone,True,"Poor Sleep, Eye Strain",Rural
16,Male,5.79,Smartphone,True,Poor Sleep,Urban
15,Female,2.69,TV,False,None,Urban
12,Female,3.64,Smartphone,True,Poor Sleep,Urban
9,Male,4.23,TV,True,None,Urban
12,Male,6.15,Laptop,True,Poor Sleep,Urban
15,Female,5.72,Tablet,True,"Poor Sleep, Eye Strain",Urban
17,Male,3.41,Laptop,True,None,Rural
16,Male,4.45,Laptop,True,"Poor Sleep, Eye Strain",Urban
16,Male,2.9,Smartphone,False,None,Urban
8,Female,7.54,Smartphone,True,"Poor Sleep, Eye Strain",Urban
16,Male,4.34,Tablet,True,"Poor Sleep, Anxiety",Urban
14,Female,5.43,Smartphone,True,None,Urban
16,Female,4.78,Tablet,True,"Poor Sleep, Anxiety",Rural
15,Female,3.64,Tablet,True,"Poor Sleep, Anxiety, Obesity Risk",Urban
8,Female,1.67,Smartphone,False,None,Rural
15,Female,4.96,Tablet,True,"Anxiety, Obesity Risk",Rural
15,Male,5.91,Smartphone,True,"Poor Sleep, Eye Strain",Urban
18,Female,6.3,Tablet,True,Poor Sleep,Rural
8,Male,3.39,TV,True,None,Rural
15,Male,3.57,Smartphone,True,"Poor Sleep, Obesity Risk",Rural
10,Female,1.36,Smartphone,False,None,Urban
8,Male,2.75,TV,True,None,Rural
18,Female,6.4,Smartphone,True,None,Urban
12,Female,3.77,Laptop,True,Poor Sleep,Rural
17,Female,4.73,Smartphone,True,Poor Sleep,Urban
14,Male,5.76,Tablet,True,Poor Sleep,Urban
17,Female,2.78,Smartphone,False,None,Urban
16,Female,3.93,Smartphone,True,Poor Sleep,Rural
14,Male,4.61,TV,True,Obesity Risk,Urban
16,Male,5.67,TV,True,Poor Sleep,Urban
15,Female,4.51,Laptop,True,Poor Sleep,Urban
9,Female,0.45,Smartphone,False,None,Rural
8,Male,2.52,Smartphone,True,None,Urban
14,Male,6.04,Smartphone,True,None,Urban
14,Female,6.1,Smartphone,True,Poor Sleep,Rural
15,Male,5.61,Smartphone,True,Obesity Risk,Urban
12,Male,2.34,Smartphone,False,None,Urban
10,Male,6.86,TV,True,Poor Sleep,Urban
15,Female,3.78,Laptop,True,Poor Sleep,Rural
13,Male,4.67,Smartphone,True,"Anxiety, Obesity Risk",Urban
18,Male,3.25,Tablet,True,"Poor Sleep, Eye Strain",Rural
10,Male,4.98,Smartphone,True,None,Rural
8,Male,5.22,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10,Female,5.02,TV,True,None,Urban
12,Male,6.06,Smartphone,True,Eye Strain,Urban
10,Female,1.86,Smartphone,False,None,Rural
8,Female,6.48,Smartphone,True,None,Rural
12,Male,4.37,Laptop,True,Eye Strain,Rural
17,Male,4.16,Laptop,True,Poor Sleep,Rural
14,Female,3.91,Laptop,True,Eye Strain,Urban
14,Male,4.54,Laptop,True,Poor Sleep,Urban
18,Female,4.59,Smartphone,True,"Poor Sleep, Anxiety, Obesity Risk",Rural
16,Female,2.42,Smartphone,False,None,Urban
17,Male,6.78,Smartphone,True,Poor Sleep,Urban
17,Female,4.19,TV,True,Obesity Risk,Rural
10,Female,3.27,TV,True,"Poor Sleep, Eye Strain",Rural
14,Male,6.01,Tablet,True,"Poor Sleep, Eye Strain",Urban
8,Female,4.74,Smartphone,True,"Eye Strain, Obesity Risk",Urban
11,Female,3.42,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11,Female,5.47,Smartphone,True,"Poor Sleep, Anxiety",Urban
12,Female,6.28,Smartphone,True,Poor Sleep,Rural
14,Male,3.26,Smartphone,True,"Poor Sleep, Anxiety",Urban
14,Male,6.06,Smartphone,True,Anxiety,Urban
18,Female,4.67,TV,True,Poor Sleep,Urban
11,Male,3.75,Smartphone,True,None,Urban
14,Female,6.7,Smartphone,True,"Poor Sleep, Eye Strain",Urban
18,Female,3.58,Smartphone,True,None,Urban
10,Female,2.51,TV,True,None,Rural
13,Male,5.24,Smartphone,True,Poor Sleep,Urban
17,Female,5.14,Smartphone,True,Poor Sleep,Urban
16,Female,3.7,Tablet,True,Eye Strain,Urban
12,Male,4.79,TV,True,Poor Sleep,Urban
13,Male,3.3,Tablet,True,"Poor Sleep, Eye Strain, Anxiety",Rural
11,Female,5.97,Smartphone,True,Poor Sleep,Urban
18,Female,3.05,Smartphone,True,"Eye Strain, Anxiety, Obesity Risk",Urban
17,Female,5.18,Smartphone,True,Eye Strain,Urban
14,Female,3.66,Laptop,True,"Poor Sleep, Eye Strain",Urban
16,Male,4.08,Smartphone,True,None,Urban
14,Female,4.41,TV,True,None,Urban
8,Female,4.84,Smartphone,True,Poor Sleep,Urban
8,Female,6.82,Smartphone,True,None,Rural
16,Female,4.6,Smartphone,True,Poor Sleep,Urban
18,Female,4.06,Smartphone,True,Poor Sleep,Urban
16,Female,6.5,TV,True,None,Urban
11,Female,4.21,TV,True,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural
16,Female,7.07,Laptop,True,Poor Sleep,Urban
10,Male,2.48,Smartphone,True,None,Rural
14,Female,4.06,Smartphone,True,Poor Sleep,Urban
13,Male,3.9,Smartphone,True,None,Urban
15,Female,2.38,TV,False,None,Urban
18,Female,6.59,Laptop,True,Poor Sleep,Rural
16,Male,5.6,Laptop,True,Poor Sleep,Rural
12,Male,5.32,Laptop,True,Poor Sleep,Urban
8,Male,4.82,TV,True,"Poor Sleep, Eye Strain, Anxiety",Rural
10,Male,3.69,TV,True,Poor Sleep,Urban
17,Male,4.17,TV,True,Poor Sleep,Urban
15,Male,4.09,TV,True,"Poor Sleep, Anxiety",Urban
18,Male,5.83,Smartphone,True,Anxiety,Rural
13,Female,4.74,Laptop,True,Poor Sleep,Rural
15,Female,4.01,TV,True,"Poor Sleep, Eye Strain",Urban
16,Female,2.59,Laptop,False,None,Urban
11,Female,4.94,Smartphone,True,Poor Sleep,Urban
8,Male,4.15,TV,True,Eye Strain,Rural
8,Male,0.3,TV,False,None,Urban
17,Female,4.75,Tablet,True,Obesity Risk,Rural
11,Male,5.12,Laptop,True,None,Urban
14,Male,3.2,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
9,Male,5.72,Smartphone,True,Eye Strain,Urban
10,Male,6.8,TV,True,None,Rural
8,Female,4.73,Tablet,True,"Poor Sleep, Anxiety",Urban
12,Male,1.51,Smartphone,False,None,Urban
8,Female,7.74,Tablet,True,Poor Sleep,Urban
15,Female,5.08,Smartphone,True,"Poor Sleep, Eye Strain",Urban
8,Female,1.13,TV,False,None,Urban
18,Male,5.12,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Rural
8,Male,6.34,TV,True,Poor Sleep,Urban
9,Female,5.05,Smartphone,True,Poor Sleep,Urban
9,Female,0.73,Smartphone,False,None,Urban
13,Male,5.49,Smartphone,True,Poor Sleep,Urban
14,Female,4.51,Laptop,True,Poor Sleep,Urban
12,Male,2.9,Smartphone,False,None,Urban
8,Male,6.29,Tablet,True,Poor Sleep,Urban
8,Male,2.1,Smartphone,True,None,Urban
10,Female,4.53,TV,True,Poor Sleep,Urban
9,Female,2.44,Tablet,True,None,Rural
12,Female,2.14,Smartphone,False,None,Urban
17,Female,2.72,Smartphone,False,None,Urban
13,Female,4.49,Smartphone,True,"Poor Sleep, Anxiety",Urban
14,Female,3.15,Tablet,True,None,Urban
11,Male,3.74,Smartphone,True,"Eye Strain, Anxiety",Rural
14,Female,3.82,Tablet,True,Poor Sleep,Urban
18,Female,6.53,TV,True,Poor Sleep,Urban
15,Female,4.54,Laptop,True,"Poor Sleep, Eye Strain",Urban
18,Female,3.87,Laptop,True,None,Urban
8,Female,0.1,Tablet,False,None,Rural
13,Male,4.44,Smartphone,True,Poor Sleep,Urban
15,Male,4.75,Smartphone,True,None,Rural
12,Female,3.65,Tablet,True,Eye Strain,Urban
11,Male,3.85,Laptop,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
9,Male,2.32,TV,True,None,Urban
13,Male,3.65,Laptop,True,"Poor Sleep, Eye Strain",Rural
13,Female,5.78,TV,True,"Poor Sleep, Obesity Risk",Rural
18,Male,2.96,TV,False,None,Urban
8,Female,0.91,Smartphone,False,None,Urban
16,Male,4.17,Smartphone,True,"Poor Sleep, Eye Strain",Urban
18,Male,3.98,Laptop,True,Poor Sleep,Urban
13,Male,2.94,Smartphone,False,None,Urban
10,Female,6.63,TV,True,"Poor Sleep, Eye Strain",Urban
11,Male,2.9,TV,False,None,Urban
18,Female,5.84,Smartphone,True,Eye Strain,Urban
11,Male,4.78,Smartphone,True,"Poor Sleep, Anxiety",Rural
10,Male,4.13,Smartphone,True,Poor Sleep,Urban
17,Male,3.67,Smartphone,True,Poor Sleep,Urban
10,Male,3.02,TV,True,"Poor Sleep, Obesity Risk",Rural
10,Female,1.92,TV,False,None,Urban
11,Female,4.16,Laptop,True,"Anxiety, Obesity Risk",Urban
14,Male,3.9,TV,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11,Female,6.12,TV,True,None,Urban
16,Male,6.23,Smartphone,True,Obesity Risk,Rural
8,Male,2.87,Smartphone,True,None,Urban
15,Male,4.88,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
14,Female,2.61,Smartphone,False,None,Rural
9,Female,1.19,Tablet,False,None,Urban
15,Male,2.54,Laptop,False,None,Urban
8,Male,5.36,Tablet,True,Poor Sleep,Urban
18,Male,4.18,TV,True,None,Urban
16,Male,4.47,TV,True,"Poor Sleep, Eye Strain, Anxiety",Urban
16,Female,5.91,TV,True,Anxiety,Rural
9,Female,1.64,Smartphone,False,None,Urban
14,Female,4.13,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Rural
17,Male,1.97,Smartphone,False,None,Rural
10,Female,0.21,Smartphone,False,None,Urban
14,Female,3.27,Tablet,True,"Poor Sleep, Obesity Risk",Urban
17,Female,4.62,Smartphone,True,None,Urban
16,Female,4.14,Smartphone,True,"Poor Sleep, Eye Strain",Urban
11,Female,3.82,Laptop,True,"Eye Strain, Anxiety",Urban
8,Female,4.69,Smartphone,True,Poor Sleep,Urban
9,Male,3.59,Smartphone,True,None,Rural
8,Male,3.28,Tablet,True,Anxiety,Rural
12,Male,3.94,TV,True,Poor Sleep,Urban
12,Male,6.34,Laptop,True,None,Rural
18,Female,5.16,Smartphone,True,Poor Sleep,Urban
14,Male,2.89,Laptop,False,None,Rural
16,Female,3.73,Laptop,True,"Poor Sleep, Eye Strain, Anxiety",Rural
16,Male,5.77,Laptop,True,"Eye Strain, Anxiety",Urban
10,Male,3.57,Smartphone,True,None,Rural
10,Female,6.58,TV,True,Poor Sleep,Rural
10,Male,3.2,Smartphone,True,"Poor Sleep, Eye Strain",Urban
11,Male,2.08,TV,False,None,Rural
15,Male,4.26,Smartphone,True,"Poor Sleep, Eye Strain, Anxiety",Urban
13,Male,8.24,TV,True,Poor Sleep,Urban
15,Male,3.85,Smartphone,True,"Poor Sleep, Anxiety, Obesity Risk",Urban
8,Female,1.63,Smartphone,False,None,Urban
15,Male,2.2,Smartphone,False,None,Rural
11,Female,2.73,Tablet,False,None,Urban
18,Male,5.02,Smartphone,True,None,Urban
8,Female,4.92,Tablet,True,"Poor Sleep, Anxiety",Urban
15,Female,4.32,Smartphone,True,Poor Sleep,Urban
11,Male,3.71,Smartphone,True,Poor Sleep,Urban
13,Male,4.29,Smartphone,True,None,Urban
15,Female,6.56,Smartphone,True,"Poor Sleep, Eye Strain",Urban
11,Male,0.95,Smartphone,False,None,Urban
10,Female,2,Smartphone,False,None,Urban
16,Female,3.12,Smartphone,True,Eye Strain,Urban
10,Female,1.65,Smartphone,False,None,Urban
16,Male,3.96,Smartphone,True,Poor Sleep,Urban
9,Female,1.68,TV,False,None,Rural
9,Female,4.05,TV,True,None,Urban
9,Male,4.29,Tablet,True,Poor Sleep,Urban
13,Male,4.46,Laptop,True,"Poor Sleep, Anxiety",Urban
16,Male,5.54,Smartphone,True,None,Rural
11,Female,2.02,Tablet,False,None,Urban
8,Female,1.67,TV,False,None,Urban
11,Female,5.3,Tablet,True,"Poor Sleep, Eye Strain",Urban
8,Female,9.35,Smartphone,True,Anxiety,Rural
12,Male,3.97,Smartphone,True,Poor Sleep,Rural
11,Male,4.12,Laptop,True,None,Urban
15,Male,4.88,Laptop,True,Eye Strain,Rural
15,Female,5.48,Smartphone,True,"Eye Strain, Anxiety",Urban
14,Female,3.23,Smartphone,True,None,Urban
10,Male,5.99,TV,True,"Poor Sleep, Eye Strain",Urban
8,Male,1.25,Tablet,False,None,Urban
18,Male,3.91,Laptop,True,"Poor Sleep, Eye Strain",Rural
10,Female,8.74,Tablet,True,Poor Sleep,Urban
13,Female,7.85,TV,True,"Poor Sleep, Eye Strain",Rural
14,Female,5.76,Smartphone,True,"Poor Sleep, Anxiety, Obesity Risk",Urban
13,Female,3.37,Smartphone,True,Anxiety,Rural
13,Female,4.11,Laptop,True,Poor Sleep,Urban
13,Male,4.06,Smartphone,True,Poor Sleep,Urban
10,Male,2.29,Smartphone,True,None,Urban
13,Female,1.9,TV,False,None,Urban
15,Male,3.83,Smartphone,True,Poor Sleep,Urban
18,Male,4.13,Smartphone,True,Poor Sleep,Rural
18,Female,3.99,Smartphone,True,Eye Strain,Rural
12,Male,3.54,TV,True,"Poor Sleep, Eye Strain",Urban
8,Female,2.4,TV,True,None,Urban
8,Male,5.51,Smartphone,True,"Poor Sleep, Obesity Risk",Rural
12,Male,4.68,Tablet,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10,Male,4.05,TV,True,Poor Sleep,Urban
11,Female,3.97,Smartphone,True,Eye Strain,Rural
10,Male,9.2,Smartphone,True,Eye Strain,Urban
8,Male,3.93,Smartphone,True,None,Urban
12,Female,3.15,Tablet,True,"Poor Sleep, Anxiety",Urban
13,Male,2.42,Laptop,False,None,Urban
10,Female,0.66,Smartphone,False,None,Urban
16,Female,1.92,Smartphone,False,None,Urban
12,Male,4.46,Laptop,True,Poor Sleep,Urban
15,Male,5.57,Smartphone,True,Eye Strain,Rural
8,Male,6.76,Tablet,True,"Poor Sleep, Eye Strain",Urban
12,Male,5.69,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10,Male,4.51,Tablet,True,None,Urban
8,Female,2.9,Smartphone,True,None,Urban
11,Male,3.35,Smartphone,True,Poor Sleep,Rural
12,Male,5.82,TV,True,"Poor Sleep, Eye Strain, Anxiety",Urban
14,Male,5.09,TV,True,Poor Sleep,Urban
8,Female,5.49,TV,True,"Poor Sleep, Obesity Risk",Rural
10,Male,4.1,Tablet,True,"Poor Sleep, Obesity Risk",Urban
9,Male,6.83,Smartphone,True,"Poor Sleep, Eye Strain",Rural
16,Male,4.1,TV,True,None,Rural
17,Female,2.9,Laptop,False,None,Urban
13,Male,4.78,Smartphone,True,"Poor Sleep, Anxiety",Urban
17,Female,5.69,Smartphone,True,None,Urban
10,Male,6.33,Tablet,True,Poor Sleep,Urban
15,Male,3.14,TV,True,Anxiety,Urban
15,Male,5.56,Laptop,True,"Poor Sleep, Obesity Risk",Urban
9,Male,3.11,Smartphone,True,Anxiety,Urban
13,Male,4.9,TV,True,"Poor Sleep, Obesity Risk",Urban
14,Male,6.39,Tablet,True,"Poor Sleep, Anxiety",Urban
9,Male,1.38,Smartphone,False,None,Urban
18,Male,7.75,Tablet,True,None,Urban
17,Female,5.12,Smartphone,True,Poor Sleep,Urban
9,Female,2.31,Smartphone,True,None,Urban
17,Female,5.34,Smartphone,True,"Poor Sleep, Eye Strain",Urban
8,Male,7.91,Smartphone,True,Poor Sleep,Urban
15,Female,4.46,Tablet,True,"Poor Sleep, Eye Strain",Rural
8,Male,2.02,Smartphone,True,None,Urban
16,Male,4.92,Smartphone,True,Poor Sleep,Rural
18,Male,4.64,Smartphone,True,Poor Sleep,Urban
13,Male,3.55,TV,True,"Poor Sleep, Eye Strain",Rural
14,Female,5.04,Smartphone,True,Poor Sleep,Urban
17,Male,2.91,Tablet,False,None,Rural
14,Male,4.64,Smartphone,True,"Poor Sleep, Anxiety",Rural
17,Female,4.68,Tablet,True,"Poor Sleep, Eye Strain",Urban
10,Female,6.09,TV,True,"Eye Strain, Anxiety, Obesity Risk",Rural
9,Female,4.12,Smartphone,True,"Poor Sleep, Eye Strain",Rural
16,Female,5.29,TV,True,Anxiety,Rural
15,Male,4.03,Smartphone,True,Poor Sleep,Rural
17,Male,5.44,Laptop,True,"Eye Strain, Anxiety",Urban
14,Male,4.94,Smartphone,True,None,Urban
16,Female,3.95,Laptop,True,None,Urban
11,Female,3.28,Smartphone,True,Poor Sleep,Urban
11,Female,4.39,Smartphone,True,Poor Sleep,Urban
8,Female,1.87,Smartphone,False,None,Urban
15,Male,3.07,Smartphone,True,None,Urban
10,Male,0.96,TV,False,None,Urban
14,Male,3.82,Smartphone,True,Poor Sleep,Urban
9,Female,0.26,TV,False,None,Rural
9,Male,3.21,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
14,Female,5.15,Tablet,True,"Poor Sleep, Eye Strain, Anxiety",Urban
13,Male,4.86,Smartphone,True,"Eye Strain, Obesity Risk",Urban
10,Male,5.88,TV,True,Anxiety,Urban
16,Male,4.29,Tablet,True,Poor Sleep,Urban
17,Male,6.13,TV,True,Eye Strain,Urban
13,Female,4.53,Laptop,True,None,Urban
17,Female,6.49,TV,True,"Poor Sleep, Eye Strain, Obesity Risk",Rural
17,Male,4.61,Laptop,True,Poor Sleep,Urban
13,Male,4.04,Tablet,True,None,Urban
8,Male,4.31,TV,True,Eye Strain,Urban
11,Male,4.55,TV,True,"Poor Sleep, Eye Strain",Rural
17,Male,4.76,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
13,Female,4.08,Smartphone,True,Obesity Risk,Urban
13,Female,5.54,TV,True,Poor Sleep,Rural
18,Female,6.81,Laptop,True,None,Urban
12,Female,4.05,Smartphone,True,Poor Sleep,Urban
8,Female,7.57,Smartphone,True,Poor Sleep,Urban
15,Female,4.55,Smartphone,True,"Poor Sleep, Eye Strain",Rural
12,Male,3.13,Smartphone,True,"Poor Sleep, Eye Strain",Urban
12,Female,4.26,TV,True,"Poor Sleep, Eye Strain",Rural
14,Male,4.28,TV,True,Poor Sleep,Urban
11,Female,5.24,Smartphone,True,Poor Sleep,Urban
13,Male,3.75,Tablet,True,Anxiety,Urban
11,Male,4.54,Laptop,True,Eye Strain,Rural
10,Male,2.79,Smartphone,True,None,Urban
14,Male,5.67,Smartphone,True,"Poor Sleep, Eye Strain",Rural
15,Female,3.91,Laptop,True,Poor Sleep,Rural
11,Female,4.55,Laptop,True,Poor Sleep,Rural
9,Male,11.18,Tablet,True,Eye Strain,Rural
17,Female,7.29,Laptop,True,Poor Sleep,Rural
10,Male,2.76,Tablet,True,None,Urban
8,Female,0.96,Smartphone,False,None,Urban
15,Female,4.91,Smartphone,True,None,Rural
10,Male,3.23,Tablet,True,Poor Sleep,Urban
17,Female,4.71,Smartphone,True,Eye Strain,Urban
14,Male,3.41,TV,True,"Poor Sleep, Anxiety",Urban
17,Female,5.22,Smartphone,True,"Poor Sleep, Eye Strain",Urban
12,Female,3.67,Smartphone,True,"Poor Sleep, Anxiety",Rural
17,Female,5.45,Tablet,True,"Eye Strain, Anxiety",Urban
12,Female,3.6,Laptop,True,"Poor Sleep, Eye Strain",Rural
14,Female,4.36,Smartphone,True,Poor Sleep,Urban
16,Male,4.51,Smartphone,True,Anxiety,Rural
12,Male,5.6,Laptop,True,Obesity Risk,Urban
8,Male,4.1,Smartphone,True,"Poor Sleep, Eye Strain",Urban
17,Female,5.7,Smartphone,True,None,Rural
17,Female,6.58,Smartphone,True,None,Rural
8,Female,7.78,TV,True,Poor Sleep,Rural
9,Male,5.32,TV,True,Eye Strain,Urban
13,Male,5.04,Tablet,True,None,Rural
16,Female,5.2,Tablet,True,Poor Sleep,Rural
15,Female,5.02,TV,True,Poor Sleep,Urban
12,Female,4.52,TV,True,Poor Sleep,Urban
8,Male,2.68,TV,True,None,Urban
14,Female,4.91,Smartphone,True,Obesity Risk,Urban
12,Male,4.97,Laptop,True,"Poor Sleep, Anxiety",Rural
13,Female,2.73,Smartphone,False,None,Urban
14,Male,5.77,Laptop,True,Poor Sleep,Rural
10,Female,6.68,Smartphone,True,Poor Sleep,Urban
17,Male,3.74,TV,True,None,Urban
10,Female,9.33,Tablet,True,Poor Sleep,Rural
12,Male,4.95,Smartphone,True,Poor Sleep,Urban
13,Male,4.66,Smartphone,True,Poor Sleep,Urban
16,Male,3.47,TV,True,"Poor Sleep, Eye Strain",Urban
12,Male,4.58,Smartphone,True,Obesity Risk,Urban
8,Female,8.46,Smartphone,True,None,Urban
11,Female,3.93,Smartphone,True,None,Rural
12,Male,5.47,Smartphone,True,Eye Strain,Urban
17,Male,4.05,Laptop,True,None,Urban
17,Female,4.88,TV,True,Poor Sleep,Urban
12,Female,5.21,Laptop,True,None,Urban
14,Male,3.11,Laptop,True,"Poor Sleep, Eye Strain",Urban
11,Female,5.47,Tablet,True,None,Urban
8,Female,4.45,Smartphone,True,Poor Sleep,Rural
12,Female,5.09,Laptop,True,"Poor Sleep, Obesity Risk",Rural
14,Female,2.56,Tablet,False,None,Urban
17,Female,4.78,Smartphone,True,None,Urban
17,Female,5.9,Laptop,True,Poor Sleep,Urban
13,Female,3.73,Smartphone,True,Poor Sleep,Urban
12,Male,3.76,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11,Male,3.74,Laptop,True,"Poor Sleep, Anxiety",Rural
9,Female,5.87,Smartphone,True,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Urban
11,Female,6.62,TV,True,Eye Strain,Rural
17,Female,6,Smartphone,True,Poor Sleep,Urban
17,Female,5.71,TV,True,Poor Sleep,Urban
10,Male,3.87,Smartphone,True,Poor Sleep,Urban
17,Male,3.94,Laptop,True,Poor Sleep,Rural
8,Male,2.61,Smartphone,True,None,Rural
15,Female,6.88,Smartphone,True,Eye Strain,Urban
12,Male,5.41,Tablet,True,Eye Strain,Rural
11,Female,3.67,TV,True,"Poor Sleep, Eye Strain, Obesity Risk",Rural
15,Male,7.42,Smartphone,True,Poor Sleep,Urban
14,Female,3.39,Laptop,True,"Poor Sleep, Anxiety",Urban
9,Male,7.41,TV,True,None,Urban
8,Male,3.08,TV,True,None,Rural
18,Female,3.89,Tablet,True,Eye Strain,Urban
11,Male,4.57,Smartphone,True,None,Urban
15,Male,6.81,TV,True,Eye Strain,Urban
9,Female,6.87,TV,True,Poor Sleep,Urban
10,Female,3.56,Smartphone,True,Eye Strain,Rural
8,Female,4.95,Tablet,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
8,Male,7.2,Smartphone,True,None,Rural
10,Male,2.48,Smartphone,True,None,Rural
18,Male,2.29,Smartphone,False,None,Urban
12,Female,6.82,Smartphone,True,"Poor Sleep, Anxiety",Rural
10,Female,4.18,Smartphone,True,"Poor Sleep, Obesity Risk",Rural
8,Male,7.59,Smartphone,True,None,Urban
8,Male,4.96,Smartphone,True,Eye Strain,Urban
15,Female,2.7,Laptop,False,None,Urban
17,Female,5.37,Smartphone,True,"Poor Sleep, Eye Strain",Urban
18,Female,3.02,Laptop,True,"Poor Sleep, Eye Strain",Urban
9,Female,2.28,TV,True,None,Rural
10,Male,7.37,TV,True,Eye Strain,Urban
9,Female,0.62,TV,False,None,Rural
10,Male,5.21,Tablet,True,Poor Sleep,Urban
14,Female,6.65,Tablet,True,"Poor Sleep, Anxiety",Urban
8,Female,2.8,Tablet,True,None,Urban
